,Token,N_Ocorrencia,Length
0,voace,1,5
1,ceremony,1,8
2,sent,1,4
3,distracting,1,11
4,cail,1,4
5,passage,1,7
6,mantle,1,6
7,birmd,1,5
8,youth,8,5
9,troilus,10,7
10,malvolios,1,9
11,bond,3,4
12,queen,25,5
13,room,1,4
14,antonius,1,8
15,bawdy,1,5
16,feel,1,4
17,tawny,1,5
18,unspeaker,1,9
19,yea,1,3
20,counsellor,1,10
21,curse,2,5
22,weakness,2,8
23,need,6,4
24,dependance,1,10
25,claudio,6,7
26,crack,1,5
27,la,1,2
28,benefit,1,7
29,weight,1,6
30,bird,1,4
31,medry,1,5
32,double,1,6
33,matter,3,6
34,shrung,1,6
35,example,2,7
36,achilles,2,8
37,going,2,5
38,let,46,3
39,accise,1,6
40,speakd,1,6
41,wife,14,4
42,awoment,1,7
43,attore,1,6
44,handled,1,7
45,consulblesd,1,11
46,always,1,6
47,errand,1,6
48,gate,3,4
49,vouchsafed,1,10
50,entreatable,1,11
51,begot,1,5
52,special,1,7
53,unweeping,1,9
54,heavy,4,5
55,injury,3,6
56,gentlenesso,1,11
57,shalt,4,5
58,bait,3,4
59,patiently,2,9
60,first,30,5
61,longer,3,6
62,sleeping,1,8
63,army,9,4
64,tush,1,4
65,hot,5,3
66,meel,1,4
67,splitted,1,8
68,betimes,1,7
69,perfect,2,7
70,blind,4,5
71,shace,1,5
72,misbelieves,1,11
73,toldst,1,6
74,gentle,7,6
75,whether,1,7
76,vi,1,2
77,knowst,1,6
78,much,17,4
79,horse,6,5
80,antony,18,6
81,giddy,2,5
82,conjecture,1,10
83,void,2,4
84,soeth,1,5
85,warrior,2,7
86,duty,4,4
87,safe,4,4
88,goodness,4,8
89,ashame,1,6
90,wilder,1,6
91,hence,5,5
92,flittery,1,8
93,see,46,3
94,stock,4,5
95,despite,1,7
96,calld,5,5
97,picture,1,7
98,put,10,3
99,excepted,1,8
100,savage,1,6
101,lift,2,4
102,blasting,1,8
103,nickly,1,6
104,annointd,1,8
105,withdraw,2,8
106,practise,5,8
107,worst,2,5
