,Token,N_Ocorrencia,Length
0,sent,2,4
1,cail,1,4
2,birmd,1,5
3,youth,8,5
4,feel,1,4
5,bond,3,4
6,queen,25,5
7,room,1,4
8,handl,1,5
9,halfherbit,1,10
10,yea,1,3
11,counsellor,1,10
12,grudg,1,5
13,need,7,4
14,lancast,1,7
15,lodg,3,4
16,recompens,1,9
17,fleeti,1,6
18,claudio,6,7
19,crack,2,5
20,weighti,1,7
21,la,1,2
22,orlean,1,6
23,benefit,1,7
24,weight,1,6
25,bird,1,4
26,dullar,1,6
27,duti,4,4
28,matter,3,6
29,shrung,1,6
30,besid,2,5
31,let,46,3
32,furi,3,4
33,enfract,1,7
34,speakd,1,6
35,herbl,1,5
36,wife,14,4
37,awoment,1,7
38,knowledg,1,8
39,yut,1,3
40,peerl,1,5
41,consulblesd,1,11
42,errand,1,6
43,gate,3,4
44,begot,1,5
45,special,1,7
46,earthlygrudg,1,12
47,gentlenesso,1,11
48,shalt,4,5
49,bait,3,4
50,cheerli,1,7
51,first,30,5
52,longer,3,6
53,luciu,4,5
54,preserv,2,7
55,tush,1,4
56,hot,5,3
57,meel,1,4
58,shace,1,5
59,perfect,2,7
60,blind,4,5
61,toldst,1,6
62,whether,1,7
63,deceiv,1,6
64,vi,1,2
65,knowst,1,6
66,much,17,4
67,hield,1,5
68,frailti,1,7
69,void,2,4
70,soeth,1,5
71,warrior,2,7
72,conceal,1,7
73,conscienc,1,9
74,safe,4,4
75,wilder,1,6
76,see,46,3
77,everi,25,5
78,stock,4,5
79,dote,1,4
80,highdanger,1,10
81,calld,5,5
82,penit,1,5
83,accus,1,5
84,nobli,1,5
85,put,10,3
86,lift,3,4
87,annointd,1,8
88,withdraw,2,8
89,conclud,1,7
90,worst,2,5
91,puck,2,4
92,hap,1,3
93,lover,1,5
94,command,13,7
95,jealou,1,6
96,warrant,6,7
97,depart,1,6
98,john,19,4
99,blunt,3,5
100,perpressd,1,9
101,breath,7,6
102,heavier,1,7
103,white,1,5
104,simpl,2,5
105,mighti,4,6
106,shut,1,4
107,conist,1,6
108,run,9,3
109,plume,1,5
110,along,2,5
111,charm,1,5
112,languag,5,7
113,sulm,1,4
114,stoln,1,5
115,known,6,5
116,save,3,4
117,ephesu,1,6
118,feed,6,4
119,free,3,4
120,court,8,5
121,prospero,1,8
122,infurn,1,6
123,cassiu,13,6
124,visag,1,5
125,ctediou,1,7
126,besom,1,5
127,sitmis,1,6
128,stand,13,5
129,clown,5,5
130,challeng,1,8
131,agre,1,4
132,welcom,6,6
133,tom,2,3
134,frower,1,6
135,spastial,1,8
136,filth,1,5
137,fear,15,4
138,vouch,1,5
139,enter,1,5
140,fine,2,4
141,pitch,1,5
142,reckon,1,6
143,art,20,3
144,uncl,3,4
145,bosom,6,5
146,cover,1,5
147,drunk,4,5
148,beget,2,5
149,contend,1,7
150,crete,1,5
151,prison,1,6
152,puttanc,1,7
153,hell,6,4
154,grew,1,4
155,contempt,3,8
156,stomach,3,7
157,ingrat,1,6
158,rough,1,5
159,deadli,2,6
160,silent,2,6
161,hope,17,4
162,comfort,2,7
163,marri,11,5
164,brought,12,7
165,bruis,1,5
166,dispositiond,1,12
167,doublet,2,7
168,funtl,1,5
169,expos,2,5
170,suffer,5,6
171,malvolio,9,8
172,apemantu,1,8
173,crime,1,5
174,seen,7,4
175,blushd,1,6
176,mortifi,1,7
177,robbd,1,5
178,directli,1,8
