,Token,N_Ocorrencia,Length
0,sent,2,4
1,cail,1,4
2,birmd,1,5
3,youth,8,5
4,troilus,10,7
5,antonius,1,8
6,bond,3,4
7,queen,25,5
8,room,1,4
9,feel,1,4
10,handl,1,5
11,halfherbit,1,10
12,yea,1,3
13,counsellor,1,10
14,grudg,1,5
15,need,7,4
16,lancast,1,7
17,lodg,3,4
18,recompens,1,9
19,fleeti,1,6
20,claudio,6,7
21,crack,2,5
22,weighti,1,7
23,la,1,2
24,orlean,1,6
25,benefit,1,7
26,weight,1,6
27,bird,1,4
28,dullar,1,6
29,duti,4,4
30,matter,3,6
31,shrung,1,6
32,besid,2,5
33,let,46,3
34,furi,3,4
35,enfract,1,7
36,speakd,1,6
37,herbl,1,5
38,wife,14,4
39,awoment,1,7
40,knowledg,1,8
41,yut,1,3
42,peerl,1,5
43,consulblesd,1,11
44,errand,1,6
45,gate,3,4
46,begot,1,5
47,special,1,7
48,earthlygrudg,1,12
49,gentlenesso,1,11
50,shalt,4,5
51,bait,3,4
52,first,30,5
53,longer,3,6
54,preserv,2,7
55,tush,1,4
56,hot,5,3
57,meel,1,4
58,shace,1,5
59,perfect,2,7
60,blind,4,5
61,toldst,1,6
62,whether,1,7
63,deceiv,1,6
64,vi,1,2
65,knowst,1,6
66,much,17,4
67,hield,1,5
68,frailti,1,7
69,void,2,4
70,soeth,1,5
71,warrior,2,7
72,conceal,1,7
73,conscienc,1,9
74,safe,4,4
75,wilder,1,6
76,see,46,3
77,everi,25,5
78,stock,4,5
79,dote,1,4
80,highdanger,1,10
81,calld,5,5
82,penit,1,5
83,accus,1,5
84,nobli,1,5
85,put,10,3
86,lift,3,4
87,annointd,1,8
88,withdraw,2,8
89,conclud,1,7
90,worst,2,5
91,puck,2,4
92,hap,1,3
93,lover,1,5
94,command,13,7
95,warrant,6,7
96,ctedious,1,8
97,depart,1,6
98,john,19,4
99,blunt,3,5
100,perpressd,1,9
101,breath,7,6
102,heavier,1,7
103,white,1,5
104,simpl,2,5
105,mighti,4,6
106,shut,1,4
107,conist,1,6
108,run,9,3
109,plume,1,5
110,along,2,5
111,charm,1,5
112,languag,5,7
113,sulm,1,4
114,stoln,1,5
115,known,6,5
116,save,3,4
117,feed,6,4
118,free,3,4
119,court,8,5
120,prospero,1,8
121,infurn,1,6
122,visag,1,5
123,sitmis,1,6
124,besom,1,5
125,stand,13,5
126,clown,5,5
127,challeng,1,8
128,agre,1,4
129,welcom,6,6
130,tom,2,3
131,frower,1,6
132,spastial,1,8
133,filth,1,5
134,fear,15,4
135,vouch,1,5
136,enter,1,5
137,fine,2,4
138,pitch,1,5
139,reckon,1,6
140,art,20,3
141,uncl,3,4
142,bosom,6,5
143,cover,1,5
144,drunk,4,5
145,beget,2,5
146,contend,1,7
147,crete,1,5
148,prison,1,6
149,puttanc,1,7
150,hell,6,4
151,grew,1,4
152,contempt,3,8
153,stomach,3,7
154,ingrat,1,6
155,rough,1,5
156,silent,2,6
157,hope,17,4
158,comfort,2,7
159,marri,11,5
160,brought,12,7
161,bruis,1,5
162,dispositiond,1,12
163,doublet,2,7
164,funtl,1,5
165,expos,2,5
166,suffer,5,6
167,malvolio,9,8
168,public,1,6
169,crime,1,5
170,seen,7,4
171,blushd,1,6
172,mortifi,1,7
173,robbd,1,5
174,jade,1,4
175,woe,4,3
176,stain,2,5
177,andronicus,5,10
178,hard,1,4
179,assum,1,5
